eval_0_precision,eval_0_recall,eval_0_f1-score,eval_0_support,eval_1_precision,eval_1_recall,eval_1_f1-score,eval_1_support,eval_accuracy,eval_macro avg_precision,eval_macro avg_recall,eval_macro avg_f1-score,eval_macro avg_support,eval_weighted avg_precision,eval_weighted avg_recall,eval_weighted avg_f1-score,eval_weighted avg_support,eval_roc_auc_0_vs_rest,eval_roc_auc_1_vs_rest,eval_roc_auc_average,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9319520174482007,0.9656497175141243,0.9485016648168701,4425.0,0.8698630136986302,0.7650602409638554,0.8141025641025641,1328.0,0.9193464279506345,0.9009075155734154,0.8653549792389899,0.8813021144597171,5753.0,0.9176196348687761,0.9193464279506345,0.9174775025104912,5753.0,0.9691910012933088,0.9691910012933088,0.9691910012933088,0.21516230702400208,21.8615,263.157,16.467,0.9345794392523364,200,,,,,,,,
0.9643097643097643,0.9708474576271187,0.9675675675675676,4425.0,0.9006163328197226,0.8802710843373494,0.8903274942878904,1328.0,0.9499391621762558,0.9324630485647435,0.925559270982234,0.928947530927729,5753.0,0.9496070219112288,0.9499391621762558,0.9497377714063627,5753.0,0.9885158430331494,0.9885156728609353,0.9885157579470424,0.13313548266887665,21.8516,263.276,16.475,1.8691588785046729,400,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2.336448598130841,500,0.18,3.287837028503418,2.533644859813084e-06,,,,,
0.9932401982875169,0.9961581920903955,0.994697055173192,4425.0,0.9870722433460076,0.9774096385542169,0.9822171774498676,1328.0,0.9918303493829307,0.9901562208167622,0.9867839153223061,0.9884571163115298,5753.0,0.9918164117131514,0.9918303493829307,0.9918162490517642,5753.0,0.9984147607378667,0.9984148458239738,0.9984148032809202,0.03200683370232582,21.8653,263.111,16.464,2.803738317757009,600,,,,,,,,
0.9968383017163505,0.9975141242937853,0.9971760984976844,4425.0,0.9916981132075472,0.9894578313253012,0.9905767056162834,1328.0,0.9956544411611333,0.9942682074619489,0.9934859778095433,0.9938764020569839,5753.0,0.9956517607221405,0.9956544411611333,0.9956527204781294,5753.0,0.9987968824450343,0.9987968824450344,0.9987968824450344,0.023901771754026413,21.8733,263.015,16.458,3.7383177570093458,800,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.672897196261682,1000,0.023,0.3067720830440521,2.066355140186916e-06,,,,,
0.9968383017163505,0.9975141242937853,0.9971760984976844,4425.0,0.9916981132075472,0.9894578313253012,0.9905767056162834,1328.0,0.9956544411611333,0.9942682074619489,0.9934859778095433,0.9938764020569839,5753.0,0.9956517607221405,0.9956544411611333,0.9956527204781294,5753.0,0.999051204819277,0.9990512899053842,0.9990512473623305,0.020854325965046883,21.9035,262.652,16.436,4.672897196261682,1000,,,,,,,,
0.9970634741359837,0.9975141242937853,0.9972887483054677,4425.0,0.9917043740573153,0.990210843373494,0.9909570459683497,1328.0,0.995828263514688,0.9943839240966494,0.9938624838336396,0.9941228971369087,5753.0,0.9958264004519107,0.995828263514688,0.9958271629232858,5753.0,0.9990860050370975,0.9990860050370975,0.9990860050370975,0.02060685120522976,21.8998,262.696,16.438,5.607476635514018,1200,,,,,,,,
0.9968397291196388,0.9979661016949153,0.9974025974025974,4425.0,0.9931972789115646,0.9894578313253012,0.9913240286684271,1328.0,0.9960020858682427,0.9950185040156017,0.9937119665101082,0.9943633130355123,5753.0,0.9959989201719033,0.9960020858682427,0.9959994443904338,5753.0,0.9990933224423116,0.9990932373562046,0.9990932798992581,0.02133038640022278,21.9015,262.676,16.437,6.542056074766355,1400,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.009345794392523,1500,0.0144,0.19789229333400726,1.5990654205607479e-06,,,,,
