loss,grad_norm,learning_rate,epoch,step,eval_0_precision,eval_0_recall,eval_0_f1-score,eval_0_support,eval_1_precision,eval_1_recall,eval_1_f1-score,eval_1_support,eval_accuracy,eval_macro avg_precision,eval_macro avg_recall,eval_macro avg_f1-score,eval_macro avg_support,eval_weighted avg_precision,eval_weighted avg_recall,eval_weighted avg_f1-score,eval_weighted avg_support,eval_roc_auc_0_vs_rest,eval_roc_auc_1_vs_rest,eval_roc_auc_average,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1081,3.6216723918914795,2.4242424242424244e-06,9.503778337531486,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1013,1.177071452140808,2.393939393939394e-06,10.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10.0,1000,0.984759671746776,0.9480812641083521,0.9660724554341575,886.0,0.9051546391752577,0.9712389380530974,0.9370330843116329,452.0,0.9559043348281017,0.9449571554610169,0.9596601010807247,0.9515527698728952,1338.0,0.9578676876493722,0.9559043348281017,0.9562624436648144,1338.0,0.9928272138876125,0.9928272138876126,0.9928272138876126,0.1115536317229271,0.9506,1407.466,44.181,,,,,
0.1026,4.313041687011719,2.3636363636363636e-06,10.503778337531486,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0978,2.254312753677368,2.3333333333333336e-06,11.0,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11.0,1100,0.9779326364692218,0.9503386004514672,0.9639381797366915,886.0,0.9077568134171907,0.9579646017699115,0.9321851453175457,452.0,0.952914798206278,0.9428447249432063,0.9541516011106894,0.9480616625271185,1338.0,0.9542260056624071,0.952914798206278,0.9532114446414345,1338.0,0.993118120617671,0.993118120617671,0.993118120617671,0.10895995795726776,0.9609,1392.38,43.707,,,,,
0.1018,4.9544358253479,2.3030303030303027e-06,11.503778337531486,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0957,1.5330519676208496,2.2727272727272728e-06,12.0,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12.0,1200,0.9836065573770492,0.9480812641083521,0.9655172413793104,886.0,0.9049586776859504,0.9690265486725663,0.9358974358974359,452.0,0.9551569506726457,0.9442826175314998,0.9585539063904592,0.9507073386383731,1338.0,0.9570379164051682,0.9551569506726457,0.9555111486455231,1338.0,0.9935026668531134,0.9935026668531134,0.9935026668531134,0.10698980838060379,0.9604,1393.149,43.731,,,,,
0.097,6.565858840942383,2.2424242424242428e-06,12.503778337531486,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0934,1.8857308626174927,2.212121212121212e-06,13.0,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13.0,1300,0.9813084112149533,0.9480812641083521,0.9644087256027555,886.0,0.9045643153526971,0.9646017699115044,0.9336188436830836,452.0,0.953662182361734,0.9429363632838252,0.9563415170099283,0.9490137846429195,1338.0,0.9553829019999012,0.953662182361734,0.9540073604101608,1338.0,0.9938759763479094,0.9938759763479096,0.9938759763479095,0.10416900366544724,0.959,1395.234,43.797,,,,,
0.0943,5.240816593170166,2.181818181818182e-06,13.503778337531486,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.092,1.3914235830307007,2.1515151515151515e-06,14.0,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14.0,1400,0.9846878680800942,0.9435665914221218,0.9636887608069165,886.0,0.8977505112474438,0.9712389380530974,0.9330499468650372,452.0,0.952914798206278,0.9412191896637689,0.9574027647376095,0.9483693538359768,1338.0,0.9553188955177937,0.952914798206278,0.9533384290417973,1338.0,0.9940620068319383,0.9940620068319385,0.9940620068319383,0.10812624543905258,0.9562,1399.283,43.924,,,,,
0.0934,4.799919605255127,2.121212121212121e-06,14.503778337531486,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0868,2.625864267349243,2.090909090909091e-06,15.0,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15.0,1500,0.9847058823529412,0.9446952595936795,0.9642857142857143,886.0,0.8995901639344263,0.9712389380530974,0.9340425531914893,452.0,0.953662182361734,0.9421480231436837,0.9579670988233884,0.9491641337386019,1338.0,0.9559522913774787,0.953662182361734,0.954069041031163,1338.0,0.9941269302223378,0.9941269302223377,0.9941269302223377,0.10784237086772919,0.9641,1387.861,43.565,,,,,
0.0913,5.701242446899414,2.0606060606060607e-06,15.503778337531486,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.086,2.740776300430298,2.0303030303030303e-06,16.0,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16.0,1600,0.9847953216374269,0.9503386004514672,0.9672601952900631,886.0,0.9089026915113871,0.9712389380530974,0.9390374331550803,452.0,0.9573991031390134,0.9468490065744071,0.9607887692522823,0.9531488142225717,1338.0,0.9591574525664478,0.9573991031390134,0.9577260484402782,1338.0,0.9944627839149804,0.9944627839149804,0.9944627839149804,0.10208281874656677,0.9625,1390.108,43.636,,,,,
0.09,7.714402198791504,2e-06,16.503778337531486,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0829,2.2429521083831787,1.96969696969697e-06,17.0,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17.0,1700,0.9881796690307328,0.9435665914221218,0.9653579676674365,886.0,0.8983739837398373,0.9778761061946902,0.9364406779661016,452.0,0.9551569506726457,0.9432768263852851,0.9607213488084061,0.950899322816769,1338.0,0.9578417245228967,0.9551569506726457,0.9555891971554759,1338.0,0.9945114764577798,0.9945114764577798,0.9945114764577798,0.10893459618091583,0.9587,1395.668,43.81,,,,,
0.0886,6.648784160614014,1.9393939393939395e-06,17.503778337531486,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0829,1.8106722831726074,1.909090909090909e-06,18.0,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18.0,1800,0.9824355971896955,0.9469525959367946,0.964367816091954,886.0,0.9028925619834711,0.9668141592920354,0.9337606837606838,452.0,0.953662182361734,0.9426640795865833,0.956883377614415,0.9490642499263189,1338.0,0.9555645568958141,0.953662182361734,0.9540281869337073,1338.0,0.9946238438642402,0.9946238438642403,0.9946238438642403,0.10214266180992126,0.9554,1400.419,43.959,,,,,
0.0853,6.963808059692383,1.878787878787879e-06,18.503778337531486,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
