loss,grad_norm,learning_rate,epoch,step,eval_0_precision,eval_0_recall,eval_0_f1-score,eval_0_support,eval_1_precision,eval_1_recall,eval_1_f1-score,eval_1_support,eval_accuracy,eval_macro avg_precision,eval_macro avg_recall,eval_macro avg_f1-score,eval_macro avg_support,eval_weighted avg_precision,eval_weighted avg_recall,eval_weighted avg_f1-score,eval_weighted avg_support,eval_roc_auc_0_vs_rest,eval_roc_auc_1_vs_rest,eval_roc_auc_average,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
,,,40.0,4000,0.983739837398374,0.9559819413092551,0.9696622781911849,886.0,0.9182389937106918,0.9690265486725663,0.9429494079655544,452.0,0.9603886397608371,0.9509894155545329,0.9625042449909107,0.9563058430783696,1338.0,0.9616124970793664,0.9603886397608371,0.9606381994602544,1338.0,0.9954029245490321,0.9954029245490321,0.9954029245490321,0.09752177447080612,0.9591,1395.102,43.792,,,,,
0.0722,7.720679759979248,5.454545454545455e-07,40.503778337531486,4050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0649,1.3511240482330322,5.151515151515152e-07,41.0,4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,41.0,4100,0.9826187717265353,0.9571106094808126,0.9696969696969697,886.0,0.92,0.9668141592920354,0.9428263214670982,452.0,0.9603886397608371,0.9513093858632677,0.961962384386424,0.956261645582034,1338.0,0.9614650461507551,0.9603886397608371,0.9606195907732761,1338.0,0.9954253980303241,0.9954253980303243,0.9954253980303243,0.09478311240673065,0.9628,1389.726,43.624,,,,,
0.0689,3.3271524906158447,4.848484848484849e-07,41.503778337531486,4150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.067,2.0669896602630615,4.5454545454545457e-07,42.0,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42.0,4200,0.983739837398374,0.9559819413092551,0.9696622781911849,886.0,0.9182389937106918,0.9690265486725663,0.9429494079655544,452.0,0.9603886397608371,0.9509894155545329,0.9625042449909107,0.9563058430783696,1338.0,0.9616124970793664,0.9603886397608371,0.9606381994602544,1338.0,0.9954229009768474,0.9954229009768473,0.9954229009768474,0.09684707969427109,0.9558,1399.908,43.943,,,,,
0.0669,6.154338836669922,4.242424242424242e-07,42.503778337531486,4250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0695,2.0759084224700928,3.9393939393939396e-07,43.0,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,43.0,4300,0.9815028901734104,0.9582392776523702,0.9697315819531697,886.0,0.9217758985200846,0.9646017699115044,0.9427027027027027,452.0,0.9603886397608371,0.9516393943467475,0.9614205237819373,0.9562171423279362,1338.0,0.9613260589123468,0.9603886397608371,0.9606007497997981,1338.0,0.9954291436105396,0.9954291436105396,0.9954291436105396,0.09491349756717682,0.9586,1395.785,43.814,,,,,
0.0708,3.9102346897125244,3.6363636363636366e-07,43.503778337531486,4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0656,1.14325749874115,3.333333333333333e-07,44.0,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,44.0,4400,0.9837775202780996,0.9582392776523702,0.9708404802744426,886.0,0.9221052631578948,0.9690265486725663,0.9449838187702265,452.0,0.9618834080717489,0.9529413917179972,0.9636329131624682,0.9579121495223346,1338.0,0.9629435440312142,0.9618834080717489,0.9621056439516431,1338.0,0.9954478715116163,0.9954478715116164,0.9954478715116164,0.09479846805334091,0.9558,1399.876,43.942,,,,,
0.0705,4.621292591094971,3.0303030303030305e-07,44.503778337531486,4450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0664,1.5622361898422241,2.7272727272727274e-07,45.0,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,45.0,4500,0.983739837398374,0.9559819413092551,0.9696622781911849,886.0,0.9182389937106918,0.9690265486725663,0.9429494079655544,452.0,0.9603886397608371,0.9509894155545329,0.9625042449909107,0.9563058430783696,1338.0,0.9616124970793664,0.9603886397608371,0.9606381994602544,1338.0,0.9954303921372779,0.995430392137278,0.995430392137278,0.09755119681358337,0.9625,1390.137,43.637,,,,,
0.0666,3.215466022491455,2.4242424242424244e-07,45.503778337531486,4550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.066,3.0010149478912354,2.121212121212121e-07,46.0,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,46.0,4600,0.9837209302325581,0.9548532731376975,0.9690721649484536,886.0,0.9163179916317992,0.9690265486725663,0.9419354838709677,452.0,0.9596412556053812,0.9500194609321786,0.9619399109051319,0.9555038244097107,1338.0,0.9609510287022569,0.9596412556053812,0.9599049154364778,1338.0,0.9953966819153399,0.9953966819153399,0.9953966819153399,0.09865450114011765,0.9612,1392.037,43.696,,,,,
0.0678,7.0991668701171875,1.8181818181818183e-07,46.503778337531486,4650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0656,2.3112142086029053,1.5151515151515152e-07,47.0,4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,47.0,4700,0.9848308051341891,0.9525959367945824,0.9684452094090649,886.0,0.9126819126819127,0.9712389380530974,0.9410503751339764,452.0,0.9588938714499252,0.9487563589080509,0.96191743742384,0.9547477922715206,1338.0,0.9604576366824484,0.9588938714499252,0.959190751193564,1338.0,0.995405421602509,0.9954054216025091,0.995405421602509,0.09962547570466995,0.9625,1390.088,43.635,,,,,
,,,47.0,4700,,,,,,,,,,,,,,,,,,,,,,,,,2670.4273,475.692,1.854,1.4062140348123624e+17,0.09605459502402772
